review,rating,date,bank,source,sentiment_label,sentiment_score
"Amazing, Delightful and Seamless Mobile Banking Application, I have ever Experienced!! Indeed, I feel Great Proud to be part of your Stakeholder! My First Choice Bank, Commercial Bank of Ethiopia, The Pioneer and Leading in Digital Banking Services in Ethiopia! Five stars ⭐⭐⭐⭐⭐ are little to you! Thank you so much🙏",5,2025-09-06,CBE,google_play,Positive,0.9596
incredible,5,2025-09-06,CBE,google_play,Neutral,0.0
የዚህ አፕ ተጠቃሚ ነበርኩ ያለሁት ከሀገር ውጭ ነው እና እየተጠቀምኩበት ሳለ አብደት አድርጊ አለኝ ሳረገው ፓስወርድ እንዴ አድስ ጠየቀኝ እንዴው እኔ አለሁበት ሀገር ሆኘ መስተካከል ከቻለ ተባበሩኝ በጣም አስፈላጊዬ ነው ::,5,2025-09-06,CBE,google_play,Neutral,0.0
it's the best money transfer app ever,5,2025-09-06,CBE,google_play,Positive,0.6369
it is nice,5,2025-09-05,CBE,google_play,Positive,0.4215
user friendly. best.,5,2025-09-05,CBE,google_play,Positive,0.8126
🙏,5,2025-09-05,CBE,google_play,Neutral,0.0
አሪፍ,5,2025-09-05,CBE,google_play,Neutral,0.0
best app!!!,5,2025-09-05,CBE,google_play,Positive,0.7249
"It is good app and really user friendly , but it not possible to start service after the app is uninstalled or device phone is changed. So please make it easy for us, after once you set us the requirements in your office we should have to use it only by install and launch it. We do not have to visit the near by branch office every time for such silly businesses but important things. in addition to that why is that for hidding senders name or account number How can I know who tranfers to me???",4,2025-09-05,CBE,google_play,Positive,0.9368
very good app,5,2025-09-05,CBE,google_play,Positive,0.4927
jabirabdala,5,2025-09-04,CBE,google_play,Neutral,0.0
unfair cost of transportations... what a shame!!!,1,2025-09-04,CBE,google_play,Negative,-0.795
"I think it is a good app to use easily. However, I have one more comment: the app does not automatically sync or update the balance in real time. Please review this issue. For example, when someone transfers money, the receiver's app does not sync automatically. It requires the user to manually initiate an update to see the current balance.",4,2025-09-04,CBE,google_play,Positive,0.765
WAW!!! I AM PROUD!!! MY STRONG BANK WORKS AT BEST EVEN IN A REMOTE LOCATION HERE IN MALABO (ECUATORIAL GUINEA). MEWOLID MUBARAK CBE!!!,5,2025-09-04,CBE,google_play,Positive,0.9147
zinaa Ahmed,5,2025-09-04,CBE,google_play,Neutral,0.0
absolutely excellent,5,2025-09-04,CBE,google_play,Positive,0.6115
amazing app,5,2025-09-03,CBE,google_play,Positive,0.5859
perfect and easy,5,2025-09-03,CBE,google_play,Positive,0.765
fastest,5,2025-09-03,CBE,google_play,Neutral,0.0
My account is not working,4,2025-09-03,CBE,google_play,Neutral,0.0
The recent update is not optimized fir latest version of android,2,2025-09-02,CBE,google_play,Negative,-0.357
topp,5,2025-09-02,CBE,google_play,Neutral,0.0
I appreciate it,5,2025-09-01,CBE,google_play,Positive,0.4019
v.good app,5,2025-09-01,CBE,google_play,Neutral,0.0
sahib amin jamal,1,2025-08-31,CBE,google_play,Neutral,0.0
installi,5,2025-08-31,CBE,google_play,Neutral,0.0
very good apps,5,2025-08-30,CBE,google_play,Positive,0.4927
👍👍👍👍,1,2025-08-30,CBE,google_play,Neutral,0.0
the app say it is not compatible with ur phone can u fix it it is not updating.,1,2025-08-30,CBE,google_play,Neutral,0.0
"I would like to give you some feedback on Current update, its very nice and easy to use👍 but in some button there is still not improved For example while iwant to check my recent Txn it not well sequenced and arranged or some txn may not appear ... becouse of this i see many of users of this app discomferted maily merchants and those make High txn daily. improve and miximize the txn shown to 300 up to 500. make Searchable Recent txn button! All in all the bank i Relly on! CBE my bank !",5,2025-08-29,CBE,google_play,Positive,0.619
tinishu titiba,5,2025-08-29,CBE,google_play,Neutral,0.0
"essy to use ,has great interface and user-friendly g",5,2025-08-29,CBE,google_play,Positive,0.6249
Yuuuuu,5,2025-08-29,CBE,google_play,Neutral,0.0
I found it very much friendly,5,2025-08-29,CBE,google_play,Positive,0.539
"Very useful app, while we use CBE.",5,2025-08-28,CBE,google_play,Positive,0.4927
woooow,5,2025-08-28,CBE,google_play,Neutral,0.0
Redmi,1,2025-08-28,CBE,google_play,Neutral,0.0
አርፍ ነው ነገር ግን ሴብ ያረገውን አካውንት እያጠፋብን ነው,5,2025-08-28,CBE,google_play,Neutral,0.0
kamil aweil,5,2025-08-28,CBE,google_play,Neutral,0.0
In your next update can you come with night mode future,5,2025-08-27,CBE,google_play,Neutral,0.0
"Truly, super competitive when compared to a well known app nowadays functioning broadly by simplest features and means namely known as Telebirr super app, Thus, CBE is my top ultimate choice that I prefer over the other bank due to its beautiful power of lead as a result I could recommend CBE to others because of its service provision via ethical principles and practice for customers satisfaction with existence of constraints and challenges face from burglary and froudalent hacker. Thank you !",5,2025-08-27,CBE,google_play,Positive,0.9834
mayreba app you its better if you use other banks,1,2025-08-27,CBE,google_play,Positive,0.4404
